City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,nizhniye vyazovyye,55.7988,48.5248,6.48,96,100,6.81,RU,1730518170
223,lazaro cardenas,17.9583,-102.2,26.93,80,17,1.54,MX,1730518171
224,broken hill,-31.95,141.4333,28.55,16,43,5.62,AU,1730518173
225,whitehorse,60.7161,-135.0538,-2.57,92,75,8.23,CA,1730518060
226,saldanha,-33.0117,17.9442,16.03,96,80,6.13,ZA,1730518175
227,pemangkat,1.1667,108.9667,29.6,67,89,0.68,ID,1730518176
228,smithers,54.7804,-127.1743,1.18,100,100,1.03,CA,1730518178
229,weno,7.4515,151.8468,31.97,70,40,3.09,FM,1730518180
230,plettenberg bay,-34.0527,23.3716,15.91,91,100,2.25,ZA,1730518181
231,khandyga,62.6667,135.6,-17.6,83,100,0.67,RU,1730518182
232,as sulayyil,20.4607,45.5779,21.15,34,2,3.71,SA,1730518183
233,lawas,13.764,121.0566,30.22,68,24,5.3,PH,1730518184
234,belyy yar,53.6039,91.3903,-5.06,86,15,1.0,RU,1730518186
235,cockburn town,21.4612,-71.1419,27.58,75,2,12.06,TC,1730518187
236,westerland,54.9079,8.3033,9.01,61,75,7.2,DE,1730517955
237,idfu,24.9803,32.8747,18.32,42,0,3.29,EG,1730518189
238,baise city,23.8997,106.6133,25.19,99,0,1.28,CN,1730518190
239,kas,36.2018,29.6377,20.3,43,11,2.99,TR,1730518192
240,allendorf,51.0333,8.6667,8.8,92,100,0.9,DE,1730518193
241,bandar-e anzali,37.4727,49.4622,12.06,83,29,0.42,IR,1730518194
242,dokkum,53.3222,5.997,11.1,81,100,3.09,NL,1730518195
243,erenhot,43.6475,111.9767,8.63,37,81,5.22,CN,1730517984
244,cooper's town,26.8667,-77.5167,25.01,82,0,7.43,BS,1730518198
245,ust-nera,64.5667,143.2,-19.58,97,99,1.43,RU,1730518199
246,eyl,7.9803,49.8164,25.36,82,100,4.52,SO,1730518200
247,fort st. john,56.2499,-120.8529,-4.06,93,100,2.06,CA,1730518180
248,volokonovka,50.4827,37.8563,10.98,77,95,10.27,RU,1730518203
